"id","journal","publication_date","article_type","financial_disclosure"
"10.1371/journal.pbio.0060220","PLoS Biology","2008-08-26","Primer","Our research, upon which this Primer is based, is supported by Human Frontier Science Program grant RG0043/2004-C, European Community FP7 grant BIOTACT (ICT-215910), Ministero per l'Istruzione, l'Università e la Ricerca grant 2006050482_003, Regione Friuli Venezia Giulia, and the Italian Institute of Technology. EA is the recipient of a Long-Term Fellowship from the Human Frontier Science Program."
"10.1371/journal.pbio.1000131","PLoS Biology","2009-06-23","Research Article","Funding to CM, RAM, and BW was provided by the Sloan Foundation through the Future of Marine Animal Populations Project. KJG holds a Royal Society-Wolfson Research Merit Award. Funding to RUS was provided by the Pew Fellowship for Marine Conservation. Funding to DZ, RUS, and RW was provided by the Pew Charitable Trust, Philadelphia through the Sea Around Us Project. Funding to MC was provided by the European Community's Seventh Framework Programme FP7/2007-2013 under grant agreement #GA-2008-219265 for the implementation of ECOFUN Project. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000173","PLoS Biology","2009-08-18","Research Article","This work was supported by Human Frontier Science Program grant RGP0127/2001, NWO-VICI grant 918.46.609, Senter Novem BSIK grant 03053 and EU grant FP7, #217148 to CMAP and grant MH046823 from the National Institute of Mental Health to BLM. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000181","PLoS Biology","2009-09-01","Research Article","This research was supported by the Swiss National Foundation (through an individual research grant to U.S. and the National Center of Competence in Research Program Frontiers in Genetics), the State of Geneva, the Louis Jeantet Foundation of Medicine, the Bonizzi-Theler Stiftung, and the 6th European Framework Project EUCLOCK. D. G. received long-term fellowships from The Federation of European Biochemical Societies (FEBS) and The International Human Frontier Science Program Organization (HFSP). Research in A. M.'s laboratory is funded by the Italian Association for Cancer Research (AIRC, Milan, Italy), the European Research Council Starting Independent Grant - IDEAS 2008, the European Community's Seventh Framework Programme FP7/2007 - 20013 under Grant Agreement No. 202272 (LipidomicNet), Italian Ministry of Health and Education (Finanziamenti per la Ricerca di Base), Cariplo Fundation Milan, Telethon Fundation (GGP08259). G. Lo Sasso is a fellow of AIRC-FIRC (Milan, Italy). Thierry Claudel was supported by the SFB LIPOTOX, grant n° F30008-B05, funded by the Austrian Science Foundation (FWF)"
"10.1371/journal.pbio.1000260","PLoS Biology","2009-12-22","Research Article","This work was supported by a grant from Deutsche Forschungsgemeinschaft (NI 708/2-1), by the German Federal Ministry of Education and Research (BMBF) within the “Bernstein Focus: Neurotechnology”, through research grant 01GQ0840, Alexander von Humboldt Stiftung, and Hertie Stiftung. Additional partial support was obtained also from the Austrian Science Fund FWF # S9102-N13 and project # FP6-015879 (FACETS), project # FP7-216593 (SECO), and project # FP7-506778 (PASCAL2) of the European Union. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000272","PLoS Biology","2009-12-22","Research Article","This work was supported by the Medical Research Council Career Development Award (Agreement ID: 78415, File Number: G0600062), EC FP7 Collaborative Project 223601 “Malvecblok,” Royal Society International Research Travel grant (Ref. 2007/R2-IJP), Biotechnology and Biological Sciences Research Council (Ref. BB/E021794/1), Biotechnology and Biological Sciences Research Council (grants SF19107, B19088 and BBF0083091). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000384","PLoS Biology","2010-05-11","Research Article","This work was supported by FP6 Marie Curie Excellence grant Trans-Tar to GN (MEXT-CT-2006-042393); FP7 Collaborative Project Model-In to GN and JR (grant #222008); and Italian Association for Research on Cancer (AIRC). JR received support from the Wellcome Trust through grant 075491/Z/04. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000492","PLoS Biology","2010-09-28","Research Article","This work was supported by the Giovanni Armenise-Harvard Foundation: Career Development Award (AB); European Commission: Marie Curie International Reintegration Grant (AB); European Research Council (ERC) under the European Community's 7th Framework Programmme (FP7/2007–2013)/ERC grant agreement no. 200808; The European Commission Coordination Action ENINET (contract number LSHM-CT-2005-19063; AB); Italian Institute of Technology (IIT, AB); NIH grant NS39579 from the NINDS (DAP and JRH) and the Morris and Pimley research funds (DAP). AB is the 2007/2008 NARSAD Henry and William Test Investigator. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000577","PLoS Biology","2011-01-18","Research Article","This work was funded by EU project PITN-GA-2009-238017 HARVEST; EU project 245070 FP7-KBBE-2009-3 SUNBIOPATH; FONDAZIONE CARIVERONA 2009; and Chemical Sciences, Geosciences and Biosciences Division, Office of Basic Energy Sciences, Office of Science, US Department of Energy (FWP number 449B); the Director, Office of Science, Office of Basic Energy Sciences, of the U.S. Department of Energy under Contract DE-AC02-05CH11231 and the Division of Chemical Sciences, Geosciences, and Biosciences, Office of Basic Energy Sciences of the U.S. Department of Energy through Grant DE-AC03-76SF000098. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
"10.1371/journal.pbio.1000623","PLoS Biology","2011-06-07","Research Article","This work was supported by the EU-funded projects ETHERPATHS (FP7-KBBE-222639,                         http://www.etherpaths.org/) and HEPADIP                     (FP6-LSHM-CT-2005-018734, http://www.hepadip.org/),                     the Centre of Excellence in Computational Nanoscience grant by the Academy of                     Finland, Helsinki University Central Hospital grants, the Centre of Excellence                     in Complex Disease Genetics grant by the Academy of Finland, and KHP by Jalmari                     and Rauha Ahokas, Yrjö Jahnsson, Biomedicum Helsinki, and Novo Nordisk                     Foundations. TVP is funded by BBSRC project and MRC programme grant. The funders                     had no role in study design, data collection and analysis, decision to publish,                     or preparation of the manuscript."
