"id","journal","publication_date","article_type","financial_disclosure"
"10.1371/journal.pbio.0040045","PLoS Biology","2006-03-28","Research Article","We thank the National Institutes of Health, Minerva, Human Frontiers Science Program, and Israel Science Foundation for support. AEM acknowledges a Pacific Theaters Foundation postdoctoral grant."
"10.1371/journal.pbio.0040124","PLoS Biology","2006-04-18","Research Article","This work was supported by the Israel Science Foundation, The Minerva Foundation with funding from the Federal German Ministry for Education and Research, The United States–Israel Binational Science Foundation, the Human Frontiers Science Programme, and the BMBF-MOST Foundation. DD was supported by a fellowship from the Center for Complexity Science, Jerusalem, Israel. EA holds the Helen Diller Family Professorial Chair of Neurobiology."
"10.1371/journal.pbio.0040143","PLoS Biology","2006-05-02","Research Article","This work was funded by grants from the National Institutes of Health (RO1GM-43778) and from the National Science Foundation (AT2010–0209704) to PNB. MPL was supported by a fellowship from the National Science Foundation. KN and NM were supported by postdoctoral fellowships from the Japan Society for the Promotion of Science. TV was supported by postdoctoral fellowships from the European Molecular Biology Organization (ALTF 478-2002) and the Human Frontier Science Program Organization (LT00113/2003). IB and BS were sponsored by an NWO-PIONIER grant. JUL was supported by the Human Frontier Science Program Career Development Award."
"10.1371/journal.pbio.0040170","PLoS Biology","2006-04-20","Research Article","NN is supported by the Ministère de l'Enseignement Supérieur, the European Molecular Biology Organisation (EMBO), and the Association pour la Recherche sur le Cancer. KPW was supported by grants from the W. M. Keck Foundation, the Arnold and Mabel Beckman Foundation, and the NIH/NHGRI. JH was supported by a post-doctoral fellowship from the CNRS. GC was supported by grants from the CNRS (Programme “Puces à ADN”), the Association pour la Recherche sur le Cancer, the Human Frontier Science Program Organization, the European Union FP6 (Network of Excellence The Epigenome and STREP 3D Genome), by the Indo-French Centre for Promotion of Advanced Research, and by the Ministère de l'Enseignement Supérieur, ACI BCMS."
"10.1371/journal.pbio.0040220","PLoS Biology","2006-06-27","Research Article","MS was supported by a Human Frontiers Science Program (HFSP) fellowship and SD by a centennial fellowship of the McDonnell Foundation."
"10.1371/journal.pbio.0040316","PLoS Biology","2006-09-12","Research Article","The work was supported by National Institutes of Health (NIH) K02 NS 048099 (JWK), NIH R01-037422 (RS), and a grant from the Human Frontiers Science Foundation (RS)."
"10.1371/journal.pbio.0040349","PLoS Biology","2006-10-17","Research Article","This research was supported by the Biotechnology and Biological Sciences Research Council (BBSRC) (grants D13683 and BBS/B/02266), Wellcome Trust (BTG and SJC), and the Human Frontier Science Foundation (SPB)."
"10.1371/journal.pbio.0040382","PLoS Biology","2006-11-21","Research Article","This work was supported by the National Institutes of Health (NIH), the Howard Hughes Medical Institute (HHMI), Human Frontier Science Program (HFSP) (IB), and the Fragile X Research Foundation (FRAXA) (IB)."
"10.1371/journal.pbio.0040434","PLoS Biology","2006-12-05","Research Article","The work was supported by the Human Frontier Science Program, the Academy of Finland (Center of Excellence Program 2006-20011, grants 1213467 and 1213992 to DHB) and the Medical Research Council, UK. MRLK is supported by Helsinki Graduate School in Biotechnology and Molecular Biology, EVM is a Leukemia and Lymphoma Society Fellow. JMG is supported by the Royal Society; DIS and the Oxford Protein Production Facility (OPPF) are supported by the UK MRC and European Commission grant number QLG2-CT-2002–00988 (SPINE)."
"10.1371/journal.pbio.0050015","PLoS Biology","2007-01-16","Research Article","Supported by the Human Frontiers for Scientific Progress (RGP43/2004 to DK), United States–Israeli Binational Science Foundation (2003222 to DK), National Science Foundation Integrative Graduate Education and Research Traineeship program (to DW), and the Howard Hughes Medical Institute predoctoral fellowship program (to SBM)."
