"","id","acronym","sc39"
"1","288566","BACKHOME","false"
"2","288587","MASELTOV","false"
"3","288596","LITERACY","false"
"4","288691","IST-AFRICA 2012-13","false"
"5","303519","EPIGBRCASTEM","false"
"6","297905","3D RZP","false"
"7","299653","GENERALIZATIONS","false"
"8","302077","GATSNCE","false"
"9","303443","STESS","false"
"10","303549","MACROPHAGES IN T1D","false"
"11","303609","MBHG","false"
"12","303640","PRO-OVUM","false"
"13","303689","SPINKOND","false"
"14","303781","HPFPLATTICEQCD","false"
"15","303786","RARE","false"
"16","303814","TRRAP & BRAIN CANCER","false"
"17","303840","3DNSBT","false"
"18","303864","PROFITS","false"
"19","303871","CASCADE","false"
"20","288700","FOCUS-ENLARGED EU","false"
"21","288708","SUMO - ENLARGED EU","false"
"22","288720","GLOCAL - ENLARGED EU","false"
"23","288750","ASCENS-ENLARGED EU","false"
"24","288899","ROBOT-ERA","false"
"25","288940","FARSEEING","false"
"26","303877","TRANSPOSON GET NCRNA","false"
"27","304015","MCS","false"
"28","288804","MOSAIC - ENLARGED EU","false"
"29","304023","FUSS","false"
"30","304033","SPEDE","false"
"31","304040","FREEFLUID","false"
"32","288840","FIVER-ENLARGED EU","false"
"33","304072","HCVFAO","false"
"34","304084","CLOCKLIGHT","false"
"35","304104","PERPEGAL","false"
"36","304167","SILICONSPIN","false"
"37","304179","UDENOP","false"
"38","304181","CPAD","false"
"39","304185","ROLE OF ALVEOLAR MFS","false"
"40","304221","A20 DC SUBSETS","false"
"41","304249","CQ3D","false"
"42","304284","HIV RT","false"
"43","285974","TERA","false"
"44","286001","EUROMALDI","false"
"45","286079","AIRFORS","false"
"46","286174","UNITISS","false"
"47","286244","PYROGAS","false"
"48","286426","GEMS","false"
"49","301678","UEDIN-DSZ-BIO","false"
"50","260599","ANIMUSE","false"
"51","244310","J - BILAT","false"
"52","266528","MIRA2","false"
"53","266534","SEA-EU-NET TOP-UP","false"
"54","266547","CAAST-NET TOPUP","false"
"55","266568","WBC-INCO.NETENHANCED","false"
"56","281493","TRIAD","true"
"57","297550","PEOPLENETWORK+","false"
"58","266607","CO-REACH II","false"
"59","281640","RESCAP-MED","true"
"60","281654","TAIN","true"
"61","294416","BOT-ERA","false"
"62","294943","INARMERA-ICT","false"
"63","294936","DEBPAL2","false"
"64","295143","WELL","false"
"65","282378","DENFREE","false"
"66","282490","INPAC","false"
"67","294965","PRIMA-ERA","false"
"68","294983","LEB'IN","false"
"69","277713","BETABAT","true"
"70","277775","IMMOMEC","true"
"71","277849","EURHEALTHAGEING","true"
"72","277899","4DCELLFATE","true"
"73","277984","TIRCON","true"
"74","278006","NEUROFGL","false"
"75","278040","EUROCONDOR","false"
"76","278204","CELL-O-MATIC","false"
"77","278232","MAGICBULLET","true"
"78","278249","EU-MASCARA","true"
"79","278273","SILNE","true"
"80","278276","WAKE-UP","true"
"81","278313","BIOMAGSCAR","true"
"82","278346","VENOMICS","true"
"83","278350","DRIVERS","true"
"84","278511","DEMETRIQ","false"
"85","278588","DO-HEALTH","false"
"86","278611","NEURINOX","false"
"87","278706","OVER-MYR","false"
"88","278723","TELL ME","false"
"89","278763","E-COM@EU","true"
"90","278803","MID-FRAIL-STUDY","true"
"91","278807","BIO-COMET","true"
"92","279017","TARGETBRAIN","false"
"93","279153","BETA-JUDO","false"
"94","279185","EUCLIDS","false"
"95","279281","BRAINAGE","false"
"96","279288","IDEA","false"
"97","279277","PRIORITY","true"
"98","216444","PETAMEDIA","false"
"99","295009","INCOMMET","false"
"100","295010","KHCCBIO","false"
"101","295031","SUDSOE","false"
"102","295055","STRIKES","false"
"103","295073","J-ERACENTER","false"
"104","247947","GARNICS","true"
"105","294947","SWAN","false"
"106","295068","EURUCAS","false"
"107","295092","INDO-MARECLIM","false"
"108","295060","EU-IN-STI-HOUSE","false"
"109","248767","URBANFLOOD","false"
"110","256989","NAME-QUAM-EEU","false"
"111","257272","IMPACT-ENLARGED EU","false"
"112","257302","LARKC - ENLARGED","false"
"113","257538","LIQUIDPUBLICATION","false"
"114","257680","E-LICO-ENLARGED-EU","false"
"115","257949","DYNANETS-ENLARGEDEU","false"
"116","257967","DEPLOY ENLARGED EU","false"
"117","258066","EUWB – ENLARGED","false"
"118","258083","TREMOR-EEU","false"
"119","258139","VPHOP-EEU","false"
"120","258162","TA2-EEU","false"
"121","258273","SYMBRION-ENLARGED EU","false"
"122","258296","COIN-EEU","false"
"123","258303","INSEMTIVES-ENLARGED","false"
"124","258376","HATS - ENLARGED EU","false"
"125","283286","HADRONPHYSICS3","false"
"126","283393","RADIONET3","false"
"127","283883","NMI3-II","false"
"128","284209","BIOMEDBRIDGES","false"
"129","284395","ECRIN-IA","false"
"130","284432","CENDARI","false"
"131","284437","ICAN","false"
"132","284464","LASERLAB-EUROPE","false"
"133","277673","HDHL CSA","false"
"134","265601","TRANSFOP","false"
"135","265997","BRIDGE","false"
"136","287514","SUSCLEAN","false"
"137","288925","ARRAINA","false"
"138","288974","SENSE","false"
"139","289119","FORGER","false"
"140","289192","SOCIOEC","false"
"141","289194","BIOCONSEPT","false"
"142","289196","SUCCIPACK","false"
"143","289257","MYFISH","false"
"144","289328","CANTOGETHER","false"
"145","289346","EARLYNUTRITION","false"
"146","289364","RAPIDIA-FIELD","false"
"147","289376","ORGANICDATANETWORK","false"
"148","289437","ARANGE","false"
"149","289497","CO-FREE","false"
"150","289536","PLEASURE","false"
"151","289540","PROMYSE","false"
"152","289582","3TO4","false"
"153","289592","GENE2FARM","false"
"154","289616","SMILING","false"
"155","289699","COMMFABNET","false"
"156","289712","INEMAD","false"
"157","289719","QUAFETY","false"
"158","289760","AFSPAN","false"
"159","289829","SUSFOFLEX","false"
"160","289843","GRATITUDE","false"
"161","289853","FERTIPLUS","false"
"162","228587","LIFT","false"
"163","266726","MODERN","false"
"164","266744","PRENANOTOX","false"
"165","266746","NANOPUZZLES","false"
"166","287600","PERSEUS","true"
"167","290455","ECAMM","false"
"168","290490","ECNP-GROWTH","false"
"169","290494","TAGS","false"
"170","290500","2BFUNTEX","false"
"171","290526","INNVIN","false"
"172","290428","NMPTEAM2","false"
"173","290486","EPNOE CSA","false"
"174","284486","SCALENANO","false"
"175","290559","DIGINOVA","false"
"176","288145","H2OCEAN","false"
"177","290575","NANOPINION","false"
"178","290583","INNOMATNET","false"
"179","290589","ITS-NANO","false"
"180","290591","PI","false"
"181","283501","FAST TRACK","false"
"182","283974","R2R-CIGS","false"
"183","288710","MERMAID","false"
"184","213543","VECOM","false"
"185","219682","ISLAS","false"
"186","219576","EXOENZ-BIOREG-AC-XOC","false"
"187","219819","GOODWIN2007IEFPHYS","false"
"188","220365","AFRICAN TRAVELLERS","false"
"189","220988","NZGEOBIOLOGY","false"
"190","221595","BRU","false"
"191","221808","DARK-GRB-SN","false"
"192","202674","EU-LIMITS","false"
"193","203298","EGATEC","false"
"194","205364","EVRAMUS","false"
"195","219293","DNA_PROGRAMMABLE_CNT","false"
"196","220583","CALTICA","false"
"197","221393","DEPRONIL","false"
"198","220035","CACOPHOS","false"
"199","201289","EOR OBSERVABILITY","false"
"200","209659","LOW-ENERGY ELECTRONS","false"
"201","211206","VLS1D","false"
"202","218967","AMPK","false"
"203","219735","BRESCANSUSGENES","false"
"204","223811","3-D MT IBERIA","false"
"205","224749","AUTOMOTIVE INDUSTRY","false"
"206","224758","PNAA","false"
"207","224771","HSPB8 AND NEUROPATHY","false"
"208","224772","STRCI","false"
"209","224777","AB INITIO","false"
"210","224806","GLENPHARM","false"
"211","224824","EBMI IN CHILDREN","false"
"212","224826","ARATERPS","false"
"213","224829","BIOTHERGROWTHPLATE","false"
"214","224839","BDD","false"
"215","224861","NRFDIABVASC","false"
"216","224888","EPETER","false"
"217","200194","F2F","false"
"218","224893","EA-BIOFILMS","false"
"219","224915","OSCSI","false"
"220","200269","RESEN","false"
"221","200274","RNC","false"
"222","251219","INTERACTIVE","false"
"223","251229","TEAM-EPIC","false"
"224","251339","UNITISS","false"
"225","251421","FUNSTEP","false"
"226","251428","MONA LISA","false"
"227","251430","BAC_SAFETY","false"
"228","251465","PARM","false"
"229","251497","LASERSAC","false"
"230","251501","DBEFORSMES","false"
"231","251505","SEPIA","false"
"232","251622","MEPS-MS","false"
"233","251636","ONCONANOBBB","false"
"234","251648","PSYCH-AID","false"
"235","251661","ENOXERS","false"
"236","251688","M3DPEMEA","false"
"237","251949","FHBBDD","false"
"238","252118","ARAMAIC ENOCH","false"
"239","252295","SFORIGFATE","false"
"240","252565","M.M.B.T.P.","false"
"241","252660","EPIGENOMICPLASTICITY","false"
"242","252722","E-MEDMACU","false"
"243","252814","GEMS","false"
"244","290488","COPE","true"
"245","290542","INNOSERV","true"
"246","290563","FIDUCIA","true"
"247","290683","LLLIGHT'IN'EUROPE","true"
"248","290694","TENLAW","true"
"249","290705","VERA","true"
"250","290770","POCARIM","true"
"251","290771","TEPSIE","true"
"252","290805","FREE","true"
"253","290454","TRANSWORLD","false"
"254","290492","IRISS","false"
"255","253068","MIGSIG","false"
"256","253812","LENS4DE","false"
"257","253842","COMSIE","false"
"258","254047","STRAINED-DIAMOND","false"
"259","284868","OSIRIS","false"
"260","254624","E-SWITCH","false"
"261","254740","BOXCDRNP","false"
"262","254899","CHROMATIN IN REPROG.","false"
"263","255159","PDF-EMERGED","false"
"264","255352","RADANT","false"
"265","255583","ERIOPA-H2C2","false"
"266","202596","PEOD","false"
"267","252249","CO-COMP","false"
"268","203239","NOMAD","false"
"269","254223","SEA TADPOLE","false"
"270","208528","SULIWA","false"
"271","910825","PROACTIVE","false"
"272","251250","SNAKES AT SEA","false"
"273","253352","AHPACS","false"
"274","227656","QORE","false"
"275","253813","RADAR","false"
"276","254688","RNDNET","false"
"277","230605","MLAE","false"
"278","247649","ETP-EABIOFILMS","false"
"279","244246","FF09","false"
"280","244772","E-NIGHT","false"
"281","244913","RN2009UDURTNS","false"
"282","244942","RN2009CZ","false"
"283","244959","RE-PARTY","false"
"284","244961","RNEST09","false"
"285","244975","STAR NIGHT","false"
"286","245000","EXTRADAY","false"
"287","245015","SER","false"
"288","245016","RESNI-CHAT","false"
"289","246724","FB","false"
"290","247756","UNSUNA","false"
"291","247814","HGF-INSR","false"
"292","247834","IOATMDNAPK","false"
"293","249483","EUROCORR","false"
"294","249166","MITE-OMICS","false"
"295","249170","FP2ONCO","false"
"296","249172","PAROLEDUC","false"
"297","249194","RESPPIS","false"
"298","249228","HICONTCELLSCREEN","false"
"299","249289","EXOTRAP","false"
"300","256375","NEUROG3","false"
"301","256394","ECOGUT","false"
"302","256406","METABOLIC LIGANDS","false"
"303","256407","TENSA","false"
"304","242598","CENTROSTEMCANCER","false"
"305","256442","MODEL HYDROGEN","false"
"306","256445","IDENTITYASARESOURCE","false"
"307","271758","BARENOL","false"
"308","256484","ATTENDEAT","false"
"309","256529","CA SENSING RECEPTOR","false"
"310","256576","DYNAMIC SELECTION","false"
"311","256588","ASAF","false"
"312","273769","FCPCIDNP","false"
"313","267454","ROCOCO","false"
"314","267854","MULTICOMB","false"
"315","267185","ACERT FELLOWSHIP","false"
"316","267856","LUCRETIUS","false"
"317","267862","MAGREPS","false"
"318","267199","NZZ POSTDOC","false"
"319","267864","ASTERISK","false"
"320","267867","PLASMAQUO","false"
"321","267877","SHRINE","false"
"322","267239","OLM","false"
"323","267907","VIDEOWORLD","false"
"324","273101","MOMENTA","false"
"325","268476","BIOSILICA","false"
"326","272022","INFCONGEO","false"
"327","272059","ARCHIMEDES","false"
"328","272112","STODIFFGAMES","false"
"329","272135","HUMESENT","false"
"330","273493","MUCHFUSS2GAIA","false"
"331","272285","MIAG","false"
"332","272295","GROWINGRODS","false"
"333","272322","CREDDERIV SYSRISK","false"
"334","272383","SEA VIEWS","false"
"335","268690","ACTINONSRF","false"
"336","272392","CLFR2010IAMBH","false"
"337","272408","SFC-ECAT","false"
"338","272531","DYCPBOM","false"
"339","272623","HETCAT","false"
"340","268928","LYVICAM","false"
"341","272709","FIT","false"
"342","272769","ANDERSONTRANSITIONS","false"
"343","272880","ANGULARNERNST","false"
"344","272897","GAFIMASIN","false"
"345","272929","MIRCOPUFA","false"
"346","272938","PERSUADE","false"
"347","272982","ASYMHYDRO","false"
"348","273074","PROBESENS","false"
"349","273077","RANSOM","false"
"350","273102","EGGS-2-EMBRYOS","false"
"351","273114","SIIMAG","false"
"352","269484","INTERACT","false"
"353","273276","TECH3D","false"
"354","273324","MULTITUDES","false"
"355","269874","DEVHEALTH","false"
"356","273443","GENEFOREST","false"
"357","258345","QRGRAPH","false"
"358","273630","FOLDNA","false"
"359","273640","MIDAS","false"
